gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz
-17.611,8.527,1.878,1.041,0.035,-0.126,37.8,811,1873,1023
-10.237,-7.107,11.328,1.06,0.104,-0.098,37.66,792,1866,1026
-3.427,4.756,7.214,1.035,0.072,-0.1,37.75,753,1855,1041
-9.252,0.534,-2.366,1.042,0.083,-0.06,37.8,758,1866,1003
-16.771,-8.84,-17.557,0.96,0.085,-0.033,37.8,703,1876,1016
-13.229,5.176,5.031,1.028,0.161,-0.106,37.8,636,1861,1033
-13.756,7.221,6.504,1.029,0.101,-0.065,37.75,626,1857,1013
-4.656,0.748,-4.122,1.066,0.053,-0.022,37.75,612,1868,1011
-2.573,-0.786,-2.847,1.047,0.079,-0.053,37.94,592,1873,991
-7.267,-1.458,-4.412,1.051,0.11,-0.082,37.61,590,1871,1006
-7.275,1.794,1.244,1.027,0.074,-0.038,37.8,566,1861,1001
-5.145,7.702,-3.42,1.036,0.056,-0.029,37.85,558,1881,996
-7.603,-5.916,-2.557,1.059,0.101,-0.078,37.75,532,1860,1023
-5.588,2.092,-9.74,1.047,0.079,-0.035,37.8,508,1850,993
-2.802,10.603,-5.481,1.034,0.114,-0.084,37.94,480,1852,998
-13.924,7.244,-25.511,0.988,0.116,0.029,37.61,443,1857,983
-12.687,-15.435,-2.893,1.03,0.145,-0.088,37.85,371,1816,1016
-25.206,-9.794,0.779,0.987,0.206,-0.019,37.94,305,1808,998
-17.527,-4.053,-5.931,1.026,0.205,-0.015,37.66,261,1788,998
-12.176,3.733,-7.779,1.047,0.242,-0.012,37.66,213,1777,976
-10.053,2.809,-7.779,1.016,0.186,-0.061,37.8,213,1793,978
-15.634,15.74,-3.702,1.027,0.215,-0.063,37.75,155,1777,917
-4.191,1.939,0.595,1.039,0.143,-0.104,37.85,141,1796,897
-12.458,-3.275,0.679,1.028,0.211,-0.033,37.85,148,1798,900
-12.656,-9.023,-3.237,1.052,0.183,-0.072,37.8,112,1775,915
-5.061,18.687,3.779,1.021,0.194,-0.068,37.66,83,1770,907
-26.183,-17.206,5.519,1.08,0.179,0.049,37.85,91,1770,867
-28.863,7.076,4.244,1.019,0.186,0.018,37.8,50,1791,850
-31.977,-0.496,-1.336,1.005,0.235,-0.018,37.94,6,1791,770
-43.443,-2.74,-9.962,1.022,0.216,0.008,37.85,-52,1767,727
-21.58,1.107,-0.176,1.028,0.21,0.035,37.61,-88,1780,677
-18.504,0.008,9.855,1.012,0.176,0.022,37.85,-105,1775,645
-36.969,-7.649,10,0.987,0.174,-0.002,37.99,-105,1777,606
-30.824,9.168,3.374,1.026,0.186,0.054,37.94,-123,1772,533
-19.489,7.641,4.557,1.024,0.153,0.105,37.94,-122,1788,496
-36.931,-1.183,3.504,0.983,0.182,0.146,37.61,-97,1793,431
-41.26,3.664,-10.45,1.012,0.157,0.148,37.85,-143,1782,346
-50.595,-6.137,2.206,1.028,0.174,0.101,37.94,-153,1788,260
-33.679,-3.893,0.198,1.032,0.113,0.037,37.94,-146,1791,197
-33.977,-6.069,-6.916,0.999,0.102,0.024,37.8,-126,1786,147
1.359,12.214,0.321,1.002,0.153,0.265,37.66,-128,1788,100
-18.244,-3.153,3.206,1.032,0.139,0.152,38.08,-128,1788,70
-30.061,-10.45,1.725,1.005,0.116,0.159,37.94,-107,1796,42
-43.389,-3.954,-3.672,1.013,0.1,0.118,37.94,-83,1801,-10
-29.855,9.237,1.053,0.994,0.107,0.162,37.75,-47,1798,-77
-21.542,6.672,-9.672,1.016,0.093,0.123,37.94,-57,1788,-125
-18.58,-8.298,-0.389,0.991,0.127,0.115,37.99,-66,1780,-190
-16.481,-3.87,1.786,1.037,0.142,0.125,37.85,-28,1780,-192
-19.74,-5.718,2.405,1.02,0.126,0.143,38.08,18,1786,-225
-12.954,-6.229,-6.069,1.022,0.084,0.127,37.85,42,1796,-247
-5.702,2.885,-4.55,1.021,0.078,0.114,37.85,30,1777,-240
-9.634,4.275,9.153,1.013,0.105,0.138,37.99,88,1803,-282
-4.855,1.374,-2.573,1.049,0.063,0.138,37.61,88,1788,-321
-19.252,-1.023,2.679,1.006,0.049,0.157,37.8,100,1793,-328
-20.679,7.931,-0.824,0.985,0.11,0.115,37.8,107,1782,-368
-13.634,-10.695,-7.817,1.032,0.079,0.14,37.94,148,1782,-403
-29.817,3.473,3.634,1.012,0.119,0.12,37.94,182,1780,-416
-26.397,5.794,8.542,1.008,0.018,0.104,37.94,256,1806,-453
-25.847,4.718,19.038,1.055,0.029,0.111,37.57,342,1796,-491
-26.664,-3.046,-4.847,1.046,0.005,0.139,37.61,422,1811,-518
-15.344,5.092,-6.771,0.964,0.085,0.173,37.8,410,1791,-531
-36.84,-0.58,10.145,1.052,-0.004,0.271,37.85,465,1803,-581
-19.053,-4.397,3.55,1.04,-0.053,0.203,37.99,547,1813,-588
-15.817,-5.695,4.672,1.029,-0.084,0.154,37.85,607,1830,-586
-22.992,6.878,4.298,1.038,-0.099,0.202,37.8,683,1822,-591
-37.473,19.733,-0.473,1.021,-0.09,0.208,37.85,737,1813,-631
-53.649,0.496,1.969,0.976,-0.204,0.175,37.75,847,1803,-645
-36.863,-15.267,-3.672,0.992,-0.082,0.174,37.94,907,1840,-603
-30.656,-2.71,-4.511,0.998,-0.101,0.09,37.8,972,1860,-578
-13.298,-0.542,2.504,1.004,-0.17,0.032,37.99,1020,1866,-546
-5.092,3.298,-5.55,1.021,-0.143,0.073,37.99,1046,1878,-563
10.481,6.29,-1.229,1.066,-0.149,0.09,37.66,1053,1873,-563
32.008,8.992,-0.58,1.049,-0.128,0.09,37.85,1003,1860,-593
39.817,4.947,2.924,1.029,-0.11,0.123,37.8,951,1835,-633
40.458,0.145,-2.046,1.034,-0.126,0.156,37.94,886,1825,-621
44.969,-7.084,-6.641,1.041,-0.114,0.153,37.99,795,1832,-613
51.053,-3.214,5.038,1.012,-0.139,0.148,37.94,710,1835,-576
54.977,17.733,0.611,1.012,-0.097,0.134,37.85,615,1852,-546
51.985,-0.237,-11.885,1.026,-0.035,0.16,37.85,472,1835,-526
42.595,-7.84,-12.641,1.023,0.004,0.137,38.08,373,1816,-486
37.771,4.794,-1.427,1.011,-0.008,0.155,37.8,287,1837,-443
45.099,1.977,-1.832,1.032,0.006,0.121,37.85,227,1821,-398
48.214,-5.595,-5.534,1.043,0.059,0.161,37.85,160,1818,-336
36.947,-1.16,-2.328,1.051,0.061,0.132,37.85,86,1801,-287
22.084,-1.229,-0.16,1.03,0.079,0.126,37.75,42,1791,-235
8.046,-19.817,5.221,0.994,0.063,0.102,38.08,42,1813,-192
18.847,-4.275,-0.809,1.049,0.085,0.09,37.8,18,1825,-147
3.718,-7.595,3.832,1.037,0.084,0.11,37.94,30,1837,-132
-0.84,-9.183,3.183,1.02,0.056,0.092,37.85,37,1842,-87
2.947,-12.565,1.855,1.047,0.057,0.051,37.85,45,1860,-45
6.321,-17.992,-1.695,1.085,0.078,-0.034,37.8,45,1878,10
13.557,-15.557,2.733,1.099,0.045,-0.127,37.94,42,1886,120
29.031,9.252,14.748,0.936,0.049,-0.001,37.85,50,1905,197
-5.725,-45.427,12.847,0.99,0.005,-0.121,37.94,100,1925,265
5.489,-27.832,7.084,1.006,-0.005,-0.118,37.8,146,1938,371
5.87,-63.412,7.954,0.999,-0.039,-0.395,37.75,160,1920,576
8.519,-53.176,10.771,0.956,-0.097,-0.442,37.85,225,1905,707
11.595,-41.725,7.107,0.937,-0.036,-0.515,37.85,263,1873,840
-15.748,-34.855,5.412,0.894,-0.108,-0.539,37.85,258,1818,968
-14.328,-27.366,6.71,0.824,-0.11,-0.625,37.94,237,1775,1048
4.992,-20.458,5.305,0.779,-0.035,-0.618,37.8,235,1731,1088
-0.382,-31.229,6.366,0.71,-0.067,-0.695,37.94,245,1685,1183
3.809,-44.771,5.519,0.683,-0.1,-0.732,37.99,266,1620,1266
4.046,-4.351,0.229,0.649,-0.102,-0.803,37.85,285,1573,1347
2.702,-6,1.443,0.76,-0.124,-0.914,37.94,307,1553,1370
12.153,-5.656,9.031,0.68,-0.07,-0.858,37.85,311,1542,1387
-2.992,-6.885,1.84,0.605,-0.104,-0.786,37.85,337,1553,1402
