gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz
1.420,1.786,-0.198,-0.016,-0.010,0.990,39.49,-641.00,-716.00,-890.00
1.649,1.580,-0.282,-0.016,-0.010,0.996,39.40,-626.00,-721.00,-875.00
1.519,1.748,-0.557,-0.021,-0.011,0.991,39.35,-638.00,-728.00,-885.00
1.695,1.565,0.000,-0.021,-0.007,0.994,39.35,-636.00,-731.00,-892.00
1.679,1.412,-0.458,-0.022,-0.013,0.993,39.17,-641.00,-726.00,-890.00
1.550,1.771,-0.115,-0.022,-0.010,0.990,39.54,-641.00,-716.00,-887.00
1.511,1.458,-0.137,-0.022,-0.007,0.995,39.17,-628.00,-706.00,-885.00
1.542,1.565,-0.214,-0.017,-0.012,0.984,39.21,-641.00,-726.00,-882.00
1.443,1.618,-0.221,-0.011,-0.011,0.987,39.17,-633.00,-711.00,-890.00
1.420,1.595,-0.153,-0.020,-0.010,0.989,39.35,-633.00,-703.00,-892.00
1.344,1.542,-0.221,-0.019,-0.011,0.992,39.31,-643.00,-713.00,-885.00
1.397,1.809,-0.191,-0.016,-0.011,0.992,38.98,-636.00,-713.00,-892.00
1.573,1.557,-0.313,-0.020,-0.008,0.991,39.02,-633.00,-695.00,-880.00
1.557,1.763,-0.031,-0.022,-0.010,0.992,39.02,-652.00,-711.00,-885.00
1.435,1.664,-0.214,-0.022,-0.009,0.991,39.12,-631.00,-718.00,-885.00
1.351,1.389,-0.069,-0.018,-0.013,0.994,38.98,-645.00,-723.00,-890.00
1.580,1.496,-0.015,-0.018,-0.010,0.995,38.98,-643.00,-721.00,-892.00
1.534,1.458,-0.092,-0.022,-0.010,0.988,38.79,-631.00,-718.00,-895.00
1.534,1.687,-0.206,-0.019,-0.009,0.989,38.84,-638.00,-713.00,-867.00
1.878,1.763,-0.305,-0.016,-0.010,0.998,38.98,-643.00,-716.00,-907.00
1.702,1.466,-0.176,-0.019,-0.008,0.993,38.79,-647.00,-718.00,-892.00
1.618,1.580,-0.153,-0.018,-0.012,0.988,38.69,-638.00,-723.00,-890.00
1.435,1.611,-0.130,-0.024,-0.010,0.994,38.65,-650.00,-706.00,-895.00
1.473,1.443,-0.328,-0.019,-0.009,0.993,38.65,-641.00,-706.00,-890.00
1.496,1.603,-0.107,-0.021,-0.011,0.993,38.65,-652.00,-723.00,-880.00
1.290,1.443,-0.107,-0.019,-0.010,0.992,38.65,-643.00,-718.00,-895.00
1.634,1.588,-0.206,-0.019,-0.009,0.995,38.51,-650.00,-698.00,-882.00
1.580,1.649,-0.519,-0.019,-0.010,0.997,38.84,-641.00,-726.00,-882.00
1.573,1.794,-0.313,-0.017,-0.010,0.989,38.69,-645.00,-716.00,-897.00
1.809,1.756,0.008,-0.021,-0.007,0.990,38.65,-638.00,-723.00,-880.00
1.718,1.382,-0.153,-0.021,-0.012,0.990,38.51,-641.00,-713.00,-885.00
1.580,1.756,-0.168,-0.020,-0.009,0.993,38.60,-641.00,-723.00,-900.00
1.611,1.626,-0.221,-0.021,-0.007,0.990,38.65,-631.00,-721.00,-892.00
1.603,1.565,-0.084,-0.022,-0.013,0.995,38.51,-641.00,-721.00,-885.00
1.733,1.527,-0.137,-0.019,-0.014,0.994,38.37,-638.00,-708.00,-902.00
1.328,1.847,-0.191,-0.021,-0.010,0.989,38.51,-638.00,-713.00,-887.00
1.557,1.618,-0.115,-0.015,-0.008,0.993,38.37,-633.00,-723.00,-892.00
1.771,1.611,-0.038,-0.020,-0.013,0.995,38.37,-638.00,-723.00,-885.00
1.641,1.351,-0.527,-0.016,-0.008,0.988,38.32,-638.00,-718.00,-882.00
1.718,1.489,-0.198,-0.016,-0.008,0.992,38.46,-628.00,-723.00,-887.00
1.496,1.725,-0.053,-0.021,-0.009,0.998,38.46,-638.00,-723.00,-882.00
1.481,1.664,-0.328,-0.017,-0.010,0.990,38.37,-641.00,-713.00,-877.00
1.679,1.489,-0.061,-0.020,-0.010,0.994,38.13,-626.00,-723.00,-887.00
1.534,1.511,-0.359,-0.020,-0.008,0.992,38.27,-645.00,-711.00,-880.00
1.702,1.595,0.000,-0.014,-0.009,0.990,38.37,-628.00,-728.00,-877.00
1.435,1.718,-0.069,-0.018,-0.014,0.989,38.32,-623.00,-726.00,-895.00
